"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4431","TC-LOGIN-24 — XSS img/onerror payload in password does not execute","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-24-Verify-XSS-In-Password-Is-Sanitized.spec.ts","",""
"","3192","TC-LOGIN-27 — HTML injection in username is not rendered as HTML","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-27-Verify-HTML-Injection-In-Username.spec.ts","",""
"","3498","TC-LOGIN-01 — Valid credentials should log in successfully","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-01-Verify-Valid-Credentials-Redirect-To-Dashboard.spec.ts","",""
"","4411","TC-LOGIN-07 — Invalid username is rejected","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-07-Verify-Invalid-Username-Shows-Error.spec.ts","",""
"","3928","TC-LOGIN-39 — Deleting cookies revokes access to the dashboard","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-39-Verify-Login-Page-After-Session-Cookie-Deleted.spec.ts","",""
"","4915","TC-LOGIN-17 — 255-character username does not crash the server","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-17-Verify-Username-255-Characters-Boundary.spec.ts","",""
"","15486","TC-LOGIN-37 — Repeated failed logins are observed for rate limiting","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-37-Verify-Rapid-Multiple-Failed-Logins.spec.ts","",""
"","3055","TC-LOGIN-05 — Password field stays masked while typing","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-05-Verify-Password-Field-Masked.spec.ts","",""
"","4162","TC-LOGIN-15 — Whitespace-only username cannot log in","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-15-Verify-Whitespace-Only-Username-Shows-Validation.spec.ts","",""
"","3633","TC-LOGIN-11 — Empty password shows Required validation","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-11-Verify-Empty-Password-Shows-Validation.spec.ts","",""
"","4428","TC-LOGIN-32 — Special characters in username do not crash the server","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-32-Verify-Special-Characters-In-Username.spec.ts","",""
"","5114","TC-LOGIN-30 — Double-clicking Login does not submit twice","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-30-Verify-Double-Click-Login-Button.spec.ts","",""
"","3571","TC-LOGIN-12 — Both fields empty shows two Required validations","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-12-Verify-Both-Empty-Fields-Shows-Two-Validations.spec.ts","",""
"","3345","TC-LOGIN-29 — Pressing Enter submits the login form","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-29-Verify-Login-With-Enter-Key.spec.ts","",""
"","4992","TC-LOGIN-19 — 255-character password does not crash the server","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-19-Verify-Password-255-Characters-Boundary.spec.ts","",""
"","4018","TC-LOGIN-23 — XSS script tag in username does not execute","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-23-Verify-XSS-In-Username-Is-Sanitized.spec.ts","",""
"","3600","TC-LOGIN-10 — Empty username shows Required validation","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-10-Verify-Empty-Username-Shows-Validation.spec.ts","",""
"","3788","TC-LOGIN-02 — Unauthenticated access to dashboard redirects to login","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-02-Verify-Dashboard-Not-Accessible-Without-Login.spec.ts","",""
"","4140","TC-LOGIN-16 — Whitespace-only password cannot log in","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-16-Verify-Whitespace-Only-Password-Shows-Error.spec.ts","",""
"","4291","TC-LOGIN-34 — Emoji username does not crash the server","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-34-Verify-Unicode-Characters-In-Username.spec.ts","",""
"","4459","TC-LOGIN-36 — Null byte in username does not crash the server or bypass auth","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-36-Verify-Null-Byte-In-Username.spec.ts","",""
"","5988","TC-LOGIN-21 — SQL injection in username does not bypass login","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-21-Verify-SQL-Injection-In-Username.spec.ts","",""
"","3423","TC-LOGIN-31 — Typing credentials key-by-key logs in successfully","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-31-Verify-Copy-Paste-Credentials.spec.ts","",""
"","3510","TC-LOGIN-40 — Forgot password link opens the reset password page","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-40-Verify-Forgot-Password-Link-Navigates.spec.ts","",""
"","4797","TC-LOGIN-22 — SQL injection in password does not bypass login","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-22-Verify-SQL-Injection-In-Password.spec.ts","",""
"","4346","TC-LOGIN-09 — Both username and password invalid","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-09-Verify-Both-Fields-Invalid-Shows-Error.spec.ts","",""
"","4344","TC-LOGIN-20 — 1-character username ""A"" is rejected cleanly","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-20-Verify-Single-Character-Username.spec.ts","",""
"","3482","TC-LOGIN-13 — Lowercase username ""admin"" (observed: case-insensitive match)","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-13-Verify-Case-Sensitive-Username.spec.ts","",""
"","3057","TC-LOGIN-28 — Username with surrounding spaces (observed behavior)","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-28-Verify-Login-With-Leading-Trailing-Spaces-Username.spec.ts","",""
"","6600","TC-LOGIN-26 — Protected module is inaccessible after logout","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-26-Verify-Direct-URL-Access-After-Logout-Redirects.spec.ts","",""
"","3531","TC-LOGIN-03 — Login page renders all expected elements","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-03-Verify-Login-Page-Elements-Visible.spec.ts","",""
